Country,"Yearly Water Used(m3, thousand of liters)",Daily Water Used Per Capita(liters),Population
Niger,"1,747,000,000",231,"20,685,753"
Nigeria,"12,470,000,000",205,"166,642,886"
North Korea,"8,658,000,000",972,"24,396,433"
North Macedonia,"551,200,000",725,"2,081,972"
Norway,"3,026,000,000","1,761","4,709,010"
Oman,"1,321,000,000","1,531","2,363,796"
Pakistan,"183,500,000,000","2,653","189,499,113"
Panama,"1,211,000,000",823,"4,029,086"
Papua New Guinea,"392,100,000",164,"6,535,905"
Paraguay,"2,413,000,000","1,121","5,897,008"
Peru,"13,660,000,000","1,303","28,719,041"
Philippines,"85,140,000,000","2,185","106,735,719"
Poland,"10,580,000,000",758,"38,263,265"
Portugal,"9,151,000,000","2,377","10,546,825"
Puerto Rico,"4,153,000,000","3,063","3,714,836"
Qatar,"444,000,000","1,474","825,408"
Romania,"6,374,000,000",883,"19,777,051"
Russia,"69,500,000,000","1,306","145,778,677"
Rwanda,"150,000,000",50,"8,213,931"
Saint Kitts & Nevis,"15,600,000",909,"47,033"
Saint Lucia,"42,900,000",701,"167,758"
Sao Tome & Principe,"40,900,000",550,"203,689"
Saudi Arabia,"23,350,000,000","2,078","30,782,402"
Senegal,"2,221,000,000",581,"10,466,214"
Serbia,"4,707,000,000","1,810","7,126,083"
Seychelles,"13,700,000",420,"89,266"
Sierra Leone,"212,200,000",106,"5,501,712"
Slovakia,"535,000,000",270,"5,427,259"
Slovenia,"887,300,000","1,179","2,061,373"
Somalia,"3,298,000,000",912,"9,909,157"
South Africa,"15,500,000,000",777,"54,678,791"
South Korea,"29,200,000,000","1,672","47,851,644"
South Sudan,"658,000,000",175,"10,288,109"
Spain,"32,850,000,000","1,926","46,720,188"
Sri Lanka,"12,950,000,000","1,755","20,216,524"
St. Vincent & Grenadines,"8,500,000",215,"108,135"
State of Palestine,"363,600,000",215,"4,632,739"
Sudan,"26,930,000,000","2,041","36,140,806"
Suriname,"615,900,000","3,214","524,997"
Sweden,"2,689,000,000",786,"9,378,232"
Switzerland,"2,005,000,000",687,"7,998,926"
Syria,"16,760,000,000","2,441","18,814,091"
Tajikistan,"11,490,000,000","4,460","7,057,566"
Tanzania,"5,184,000,000",393,"36,121,304"
Thailand,"57,310,000,000","2,340","67,102,394"
Timor-Leste,"1,172,000,000","3,456","929,074"
Togo,"169,000,000",86,"5,413,274"
Trinidad and Tobago,"383,200,000",753,"1,394,983"
Tunisia,"4,875,000,000","1,146","11,650,498"
Turkey,"58,950,000,000","1,978","81,652,088"
Turkmenistan,"27,950,000,000","15,445","4,958,093"
Uganda,"637,000,000",57,"30,539,553"
Ukraine,"9,862,000,000",592,"45,616,832"
United Arab Emirates,"3,998,000,000","2,348","4,664,790"
United Kingdom,"8,420,000,000",350,"65,893,358"
United States,"444,300,000,000","3,732","326,126,497"
Uruguay,"3,660,000,000","3,070","3,266,206"
Uzbekistan,"54,560,000,000","4,778","31,284,568"
Venezuela,"22,630,000,000","2,242","27,649,363"
Vietnam,"82,030,000,000","2,772","81,088,313"
Yemen,"3,565,000,000",429,"22,790,085"
Zambia,"1,572,000,000",404,"10,647,949"
Zimbabwe,"3,570,000,000",764,"12,804,058"
